,chi_max,nb_sweeps,compression_duration,accuracy,truncation_overlap,nb_test_images
0,2,1,1.930701732635498,0.52,"[0.0856927103719233, 0.0024505742853702475, 0.020628156797991074, 0.024227689997069847, 0.19374387613726113, 0.1592466014907844, 0.21887843998489398, 0.35513477309208724, 0.06933773995145842, 0.009657233708552313]",10000
1,2,2,1.864011526107788,0.5408,"[0.10354883764185771, 0.0024505784053846964, 0.02062817540275045, 0.08442690541877368, 0.21873876183722962, 0.19204234100564624, 0.27442947081715413, 0.40993064916314975, 0.10308437155326049, 0.013689606109999725]",10000
2,3,1,2.328908681869507,0.7216,"[0.10416964742737281, 0.3941613329253083, 0.029941719439807595, 0.08931772376119113, 0.22647056430539841, 0.10129012245205479, 0.020214280782291504, 0.3649806912572626, 0.09539784256631792, 0.35534515567424346]",10000
3,3,2,4.547184228897095,0.767,"[0.14347061549011803, 0.6434789936157087, 0.04988420655508333, 0.11736995377979961, 0.27493409258275625, 0.19315757049281237, 0.09901767632522637, 0.4775455310223514, 0.13811489150281653, 0.413037391100991]",10000
4,10,1,7.271453857421875,0.9159,"[0.15553496321511245, 0.9042842406351481, 0.06978720676049882, 0.2122590779253356, 0.3669209155493922, 0.25969906691901856, 0.4297015230381741, 0.6096452822432857, 0.18752631983853582, 0.5048928035835377]",10000
5,10,2,7.274925708770752,0.9206,"[0.22525246852237776, 0.9445225125500961, 0.09947492631138888, 0.2417457247107016, 0.42605422686370764, 0.3016392874527692, 0.4990692738917742, 0.6795006143131446, 0.24464847048113095, 0.6098219008974717]",10000
6,10,3,7.374545335769653,0.9193,"[0.25393948662957655, 0.9504263804158721, 0.10564679871805852, 0.24892543855305296, 0.4363626925820482, 0.30992743663718514, 0.5076287933008616, 0.6963797416813785, 0.2567228679844802, 0.6291809020555452]",10000
7,30,1,30.412047624588013,0.9502,"[0.2408440809122832, 0.9827292098248896, 0.12157426361631415, 0.27207243112798624, 0.48285523727683044, 0.35117820240965947, 0.5304184669656464, 0.7282824954780632, 0.26398058247607903, 0.6800802337400542]",10000
8,30,2,30.977885246276852,0.9536,"[0.33486183366451916, 0.9902047400215084, 0.14781990111042614, 0.31296646897195113, 0.5231557078352094, 0.3813417250001957, 0.5952967139599855, 0.7796740437755603, 0.316335843866038, 0.7233376938717391]",10000
9,30,3,30.569491624832157,0.9523,"[0.3702934522641341, 0.9912644192843794, 0.15517579928617692, 0.32212903677909205, 0.5300926325481758, 0.38794096296459124, 0.6062615874514782, 0.7896771694326554, 0.32958417214114777, 0.7327419842283589]",10000
10,50,1,66.02369666099548,0.9601,"[0.2850025755559504, 0.9927934071040445, 0.14049368911612437, 0.2953548079448746, 0.5207200094150515, 0.37716631762893493, 0.58457175142553, 0.7552617666209239, 0.29876693825915657, 0.7233049186565577]",10000
11,50,2,66.18400931358337,0.9598,"[0.38490764417612494, 0.9959159990728972, 0.16729075538563218, 0.33905322890413614, 0.5565248097396118, 0.40680589666222505, 0.6337456410403497, 0.8071814912592684, 0.34453795041825747, 0.7573697275261765]",10000
12,50,3,65.99999499320984,0.9598,"[0.4167291146257498, 0.9961994445117344, 0.17480830207460518, 0.3490815208883822, 0.5634466381285126, 0.414233330612614, 0.6415686373769097, 0.8153988402445084, 0.35388395268963563, 0.7635612618493616]",10000
13,2,3,1.1425397396087646,0.7384,"[0.08277265661533727, 0.6792434772583712, 0.04330831214341628, 0.14211347602404545, 0.2346983921019667, 0.019243888826141167, 0.2759553115959661, 0.42646828855324603, 0.12074713749055828, 0.3426246079588243]",10000
